Timestamp                       Thread     Type        Activity             PID    TTL  
2026-06-06 00:50:55.337066+0700 0x33fd63   Default     0x0                  94707  0    Runner: (libMobileGestalt.dylib) No persisted cache on this platform.
2026-06-06 00:50:55.337122+0700 0x33fde2   Default     0x0                  94707  0    Runner: (libxpc.dylib) [com.apple.xpc:connection] [0x104a06600] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-06-06 00:50:55.337877+0700 0x33fde4   Default     0x0                  94707  0    Runner: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:1] Alloc com.apple.frontboard.systemappservices
2026-06-06 00:50:55.338159+0700 0x33fde4   Default     0x0                  94707  0    Runner: (libxpc.dylib) [com.apple.xpc:connection] [0x104e04a20] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-06-06 00:50:55.338267+0700 0x33fde2   Activity    0xad6420             94707  0    Runner: (CoreFoundation) Loading Preferences From User Session CFPrefsD
2026-06-06 00:50:55.344944+0700 0x33fde3   Default     0x0                  94707  0    Runner: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2026-06-06 00:50:55.344967+0700 0x33fde3   Default     0x0                  94707  0    Runner: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2026-06-06 00:50:55.344989+0700 0x33fd63   Default     0x0                  94707  0    Runner: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2026-06-06 00:50:55.345024+0700 0x33fde3   Default     0x0                  94707  0    Runner: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x6000021059f0>
2026-06-06 00:50:55.345049+0700 0x33fde3   Default     0x0                  94707  0    Runner: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2026-06-06 00:50:55.345079+0700 0x33fde3   Default     0x0                  94707  0    Runner: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2026-06-06 00:50:55.345099+0700 0x33fde4   Default     0x0                  94707  0    Runner: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2026-06-06 00:50:55.345147+0700 0x33fde4   Default     0x0                  94707  0    Runner: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2026-06-06 00:50:55.345155+0700 0x33fd63   Default     0x0                  94707  0    Runner: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
2026-06-06 00:50:55.345172+0700 0x33fde4   Default     0x0                  94707  0    Runner: (libxpc.dylib) [com.apple.xpc:connection] [0x104c06080] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2026-06-06 00:50:55.345293+0700 0x33fd63   Default     0x0                  94707  0    Runner: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.workspace-service
2026-06-06 00:50:55.345473+0700 0x33fd63   Default     0x0                  94707  0    Runner: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace registering source: com.apple.frontboard.systemappservices
2026-06-06 00:50:55.345560+0700 0x33fde9   Activity    0xad6421             94707  0    Runner: (RunningBoardServices) didChangeInheritances
2026-06-06 00:50:55.345750+0700 0x33fde4   Default     0x0                  94707  0    Runner: (RunningBoardServices) [com.apple.runningboard:connection] Handshake succeeded
2026-06-06 00:50:55.345766+0700 0x33fde4   Default     0x0                  94707  0    Runner: (RunningBoardServices) [com.apple.runningboard:connection] Identity resolved as app<com.js.scriptAutomator((null))>
2026-06-06 00:50:55.345960+0700 0x33fde3   Default     0x0                  94707  0    Runner: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <BKSProcessAssertion: 0x6000021059f0>
2026-06-06 00:50:55.346012+0700 0x33fde3   Default     0x0                  94707  0    Runner: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created background task <_UIBackgroundTaskInfo: 0x600001719b00>: taskID = 1, taskName = Launch Background Task for Coalescing, creationTime = 75317 (elapsed = 0).
2026-06-06 00:50:55.346085+0700 0x33fde3   Default     0x0                  94707  0    Runner: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UIApplicationSceneKeyboardSettings on FBSSceneSettings
2026-06-06 00:50:55.346164+0700 0x33fd63   Default     0x0                  94707  0    Runner: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace connected to endpoint : <BSServiceConnectionEndpoint: 0x60000021e000; target: com.apple.frontboard.systemappservices; service: com.apple.frontboard.workspace-service>
2026-06-06 00:50:55.346283+0700 0x33fd63   Default     0x0                  94707  0    Runner: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x600003010360 com.apple.frontboard.systemappservices> attempting immediate handshake from activate
2026-06-06 00:50:55.346314+0700 0x33fd63   Default     0x0                  94707  0    Runner: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x600003010360 com.apple.frontboard.systemappservices> sent handshake
2026-06-06 00:50:55.346513+0700 0x33fd63   Default     0x0                  94707  0    Runner: (RunningBoardServices) [com.apple.runningboard:general] Added observer for process assertions expiration warning: <_RBSExpirationWarningClient: 0x60000021f5a0>
2026-06-06 00:50:55.346705+0700 0x33fde3   Default     0x0                  94707  0    Runner: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneOcclusionSettings> on FBSSceneSettings
